source,type,prix,surface,prix_m2,nb_pieces,localisation
laforet,Appartement,621000.0,57.0,10894.74,2,75015
laforet,Appartement,555000.0,66.0,8409.09,2,75010
laforet,Appartement,1649000.0,102.0,16166.67,5,75006
laforet,Appartement,440000.0,46.0,9565.22,2,75011
laforet,Appartement,1250000.0,95.0,13157.89,4,75001
laforet,Appartement,157500.0,14.0,11250.0,1,75013
laforet,Appartement,276000.0,28.0,9857.14,1,75020
laforet,Appartement,595000.0,62.0,9596.77,3,75015
laforet,Appartement,470000.0,53.0,8867.92,3,75020
laforet,Appartement,340000.0,34.0,10000.0,2,75019
laforet,Appartement,1450000.0,118.0,12288.14,5,75017
laforet,Appartement,698000.0,59.0,11830.51,3,75009
laforet,Appartement,525000.0,44.0,11931.82,3,75009
laforet,Appartement,488250.0,48.0,10171.88,3,75009
laforet,Appartement,430000.0,41.0,10487.8,1,75009
laforet,Appartement,367000.0,34.0,10794.12,2,75009
laforet,Appartement,990000.0,105.0,9428.57,3,75016
laforet,Appartement,947000.0,84.0,11273.81,4,75015
laforet,Appartement,899000.0,87.0,10333.33,4,75014
laforet,Appartement,469000.0,45.0,10422.22,2,75009
laforet,Appartement,289000.0,32.0,9031.25,1,75019
laforet,Appartement,237500.0,20.0,11875.0,1,75015
laforet,Appartement,585000.0,82.0,7134.15,3,75009
laforet,Appartement,160000.0,10.0,16000.0,1,75007
laforet,Appartement,682500.0,53.0,12877.36,3,75005
laforet,Appartement,987000.0,93.0,10612.9,5,75009
laforet,Appartement,189000.0,20.0,9450.0,1,75018
laforet,Appartement,638000.0,50.0,12760.0,3,75004
laforet,Appartement,249000.0,31.0,8032.26,1,75013
laforet,Appartement,1495000.0,125.0,11960.0,5,75004
laforet,Appartement,1155000.0,100.0,11550.0,5,75004
laforet,Appartement,819000.0,84.0,9750.0,4,75011
laforet,Appartement,173000.0,16.0,10812.5,1,75004
laforet,Appartement,299000.0,38.0,7868.42,2,75020
laforet,Appartement,580000.0,65.0,8923.08,3,75012
laforet,Appartement,1375000.0,105.0,13095.24,4,75014
laforet,Appartement,2045000.0,154.0,13279.22,5,75015
laforet,Appartement,485000.0,56.0,8660.71,2,75014
laforet,Appartement,640000.0,45.0,14222.22,2,75011
laforet,Appartement,299990.0,28.0,10713.93,1,75011
